91,47,25
68,92,25
74,119,25
57,160,25
22,208,25
90,225,25
2,320,25
90,310,25
11,434,25
100,430,25
5,577,25
51,564,25
78,654,25
91,611,25
30,702,25
75,705,25
53,871,25
73,879,25
56,907,25
40,979,25
113,49,25
155,90,25
106,109,25
108,180,20
114,212,20
173,212,25
166,359,25
175,375,25
198,409,25
187,437,25
160,537,25
179,521,25
121,656,25
139,623,25
116,711,25
179,730,25
110,811,25
141,812,25
161,944,25
197,970,25
294,27,25
219,80,25
240,104,25
228,168,25
261,232,25
206,278,25
214,301,25
210,343,20
254,464,25
211,413,25
215,520,25
217,532,25
226,671,25
290,656,25
208,771,25
292,756,25
263,818,25
299,826,25
269,999,25
241,941,25
376,36,25
388,69,25
384,134,25
360,130,20
336,275,25
356,243,25
303,332,20
330,366,25
346,477,25
325,476,25
311,547,25
369,522,25
318,667,20
317,690,20
316,755,20
396,768,25
375,853,25
313,833,25
342,926,25
319,903,25
493,58,25
480,45,25
423,177,25
407,168,25
442,282,25
440,232,25
486,364,20
451,396,20
487,436,25
464,500,25
461,515,25
439,503,25
473,685,25
438,674,25
496,793,25
427,723,25
465,805,20
419,873,25
439,903,25
463,992,25
562,54,25
558,28,25
523,199,25
581,103,25
581,207,20
599,294,25
579,389,20
554,390,25
522,405,25
519,411,25
536,599,25
542,595,25
577,667,25
534,625,25
553,761,25
542,776,25
559,809,25
552,872,25
598,989,25
535,946,25
673,70,25
679,1,25
678,138,20
605,171,25
627,248,25
668,263,25
683,394,25
677,311,25
649,490,25
620,410,25
678,518,25
632,534,25
691,611,20
663,640,25
644,782,20
700,749,25
640,892,25
693,872,25
694,974,25
613,965,25
733,98,25
756,55,25
737,142,25
776,150,25
733,274,25
784,296,25
767,324,25
729,372,25
767,435,25
705,446,25
786,574,25
729,514,20
759,681,25
737,651,25
736,797,25
745,705,25
767,868,25
759,837,25
702,998,25
709,966,20
826,16,25
834,35,25
810,140,25
894,105,25
880,269,25
855,290,25
805,373,25
820,373,25
808,481,25
893,429,25
872,544,25
884,548,25
875,665,25
851,631,25
837,779,25
879,767,20
856,894,25
831,899,25
890,989,25
860,995,25
945,53,25
965,38,25
985,160,25
938,188,25
921,208,25
966,241,25
982,376,25
949,342,25
987,446,20
939,425,25
992,560,25
956,515,25
921,677,25
990,689,25
967,741,25
913,728,25
990,840,25
983,850,25
961,933,25
958,946,25
