6,34,25
37,46,25
8,57,25
37,80,20
22,102,25
19,137,25
1,167,25
3,186,25
14,250,25
32,216,25
3,290,25
31,256,25
23,328,25
12,340,25
27,392,25
10,384,25
30,441,25
5,441,25
35,470,20
48,470,20
95,48,25
59,43,25
92,82,25
91,52,25
73,120,25
89,109,25
76,197,25
57,192,25
83,207,20
56,208,25
54,283,25
84,296,25
51,338,25
70,333,20
61,385,25
100,364,25
79,431,25
88,403,25
97,456,25
91,452,25
122,5,25
101,28,25
108,93,20
133,73,25
126,111,20
145,145,25
143,176,25
131,190,25
116,218,25
107,239,25
150,269,25
134,277,25
108,322,20
148,301,25
115,355,25
147,364,25
128,413,25
133,417,25
140,469,25
146,451,25
191,31,25
199,18,20
196,90,25
175,96,25
200,150,25
197,136,25
170,191,25
200,168,20
177,243,25
158,245,25
162,282,25
158,260,25
180,347,25
194,346,25
170,370,25
183,386,25
166,443,25
185,430,25
188,464,25
155,463,25
209,11,25
207,35,25
232,97,25
235,76,25
209,129,25
219,104,25
240,184,25
250,180,25
202,213,25
235,221,25
228,282,25
248,268,25
231,339,25
228,314,20
241,379,25
250,396,25
211,417,25
229,437,25
225,454,25
227,495,25
267,8,25
287,4,25
288,54,25
270,65,20
283,145,25
294,131,25
273,152,25
272,191,25
298,223,25
273,219,25
286,296,25
281,255,25
266,346,25
253,319,25
288,369,25
263,356,20
279,419,25
286,423,25
266,458,25
257,475,25
310,25,25
310,33,25
314,97,25
314,55,25
322,147,25
324,135,25
344,176,25
304,173,25
328,245,25
328,214,25
305,300,25
339,300,25
339,338,25
350,338,25
339,374,25
329,374,20
338,409,25
342,415,25
328,453,25
308,492,20
384,34,25
386,49,25
358,82,25
373,100,25
362,143,25
357,139,25
364,191,20
382,163,25
384,231,20
363,224,25
399,254,25
356,272,25
372,319,25
359,317,25
353,351,25
396,378,25
369,407,25
382,412,25
387,461,25
351,489,25
445,8,25
448,20,25
445,87,25
434,88,25
424,132,25
434,146,25
443,200,20
435,189,25
411,214,25
421,235,25
450,289,25
437,299,25
423,328,25
434,332,25
430,372,25
422,382,25
430,443,25
450,443,25
418,487,25
425,468,25
489,42,25
451,10,25
465,63,20
456,76,25
490,116,25
471,107,25
465,186,25
488,191,25
462,203,25
455,217,25
456,292,25
489,259,25
471,305,20
489,320,25
455,360,25
468,395,25
496,422,25
497,411,25
463,497,25
462,483,25
